RTYPE,RNAME,RADDRESS,PHONE_NO
STUDENT,LEONAS COONEY,"8632 Green Dr. Wilmington, MA 01887",508-598-1205
PROFESSOR,JOHN SMITH,"45 South Longfellow Court Bloomfield, NJ 07003",847-727-2964
PROFESSOR, FRANKLIN WONG,"8177 Bohemia Dr. Wadsworth, OH 44281",985-519-5317
STUDENT,JAMES BORG,"8189 Highland Rd. Norman, OK 73072",602-205-7727
STUDENT,RAMESH NARAYAN,"9549 E. Gulf St. Pittsford, NY 14534",615-888-5717
STUDENT,AHMAD JABBAR,"8868 N. County St. San Diego, CA 92111",773-637-9521
PROFESSOR,RAHIM RALSTON,"505 Homestead Dr. New Berlin, WI 53151",207-340-4545
PROFESSOR,RAZA KRAUSE,"564 High Point Street Mason City, IA 50401",980-215-1324
STUDENT,ALFIE MIURA,"7839 Big Rock Cove St. Ooltewah, TN 37363",716-584-4115
STUDENT,SHEPHERD ZANETTI,"8917 Dunbar Street Tampa, FL 33604",510-995-9096
